date,n_articles,sentiment_mean,sentiment_std,neg_mean,neu_mean,pos_mean
2021-06-11,33,0.5858484848484848,0.49008361029089476,0.028393939393939395,0.8827575757575757,0.08884848484848484
2021-06-12,6,0.8785,0.16172167449046523,0.04016666666666667,0.8116666666666666,0.1476666666666667
2021-06-13,9,0.3254444444444445,0.5898705601890789,0.048666666666666664,0.8597777777777778,0.09144444444444445
2021-06-14,33,0.5370303030303031,0.4113436432024084,0.03387878787878788,0.8701818181818182,0.09581818181818182
2021-06-15,37,0.6738378378378378,0.3298209542492136,0.026864864864864866,0.8806216216216216,0.09245945945945945
2021-06-16,36,0.7925,0.3459728725947001,0.02125,0.878361111111111,0.10030555555555556
2021-06-17,20,0.688,0.46829837542004416,0.027100000000000003,0.8741,0.0987
2021-06-18,29,0.7929310344827587,0.30962441891455744,0.020655172413793103,0.8610689655172414,0.11824137931034483
2021-06-19,2,0.542,0.0,0.019,0.917,0.064
2021-06-20,6,0.12966666666666668,0.29465686258199836,0.0315,0.9448333333333334,0.023333333333333334
2021-06-21,41,0.589219512195122,0.5100455622880726,0.026487804878048783,0.8759268292682926,0.09753658536585366
2021-06-22,39,0.7422820512820513,0.4141946496844937,0.02158974358974359,0.8757948717948718,0.1026923076923077
2021-06-23,33,0.5812727272727273,0.6277379664680595,0.031575757575757576,0.8651212121212121,0.10327272727272727
2021-06-24,44,0.6887045454545455,0.4919751165736897,0.030181818181818185,0.8759999999999999,0.09379545454545454
2021-06-25,17,0.5764705882352942,0.5251883135656031,0.04352941176470588,0.8609411764705882,0.09547058823529411
2021-06-26,9,0.7451111111111111,0.2808689393847442,0.033777777777777775,0.8255555555555555,0.14077777777777778
2021-06-27,6,0.7023333333333334,0.2372582278165853,0.003833333333333333,0.859,0.13699999999999998
2021-06-28,25,0.7956399999999999,0.4001452736194694,0.023399999999999997,0.87428,0.10232
2021-06-29,36,0.2980277777777778,0.5961772740246748,0.030500000000000003,0.8916666666666667,0.07777777777777778
2021-06-30,35,0.5414857142857142,0.4929099292155999,0.03288571428571429,0.8518,0.11534285714285714
2021-07-01,31,0.7491290322580645,0.32426591371234026,0.024741935483870967,0.8645483870967742,0.11090322580645162
2021-07-02,20,0.6376999999999999,0.4154508141132574,0.0211,0.8776999999999999,0.10115
2021-07-03,4,0.7202500000000001,0.48327105920659746,0.01,0.8825000000000001,0.10775
2021-07-04,2,0.608,0.4737615433949868,0.0265,0.9139999999999999,0.0595
